barcoding_genes_from_study	count	percentage
['16S rRNA']	144171	43.60%
['16S']	47653	14.41%
['18S']	46074	13.94%
['ITS']	15553	4.70%
['ITS2']	10386	3.14%
['16S rDNA']	9807	2.97%
['18S', '16S rRNA']	8742	2.64%
['ITS', '18S']	6633	2.01%
['ITS1']	6194	1.87%
['18S', 'COX1']	4648	1.41%
['ITS', '16S rRNA']	4577	1.38%
['COX1']	4306	1.30%
['16S rRNA', '12S']	2664	0.81%
['12S']	2557	0.77%
['18S', 'ITS2', 'COX1', 'ITS', 'ITS1']	2070	0.63%
['ITS1', '16S rRNA']	1863	0.56%
['16S rDNA', '16S rRNA']	1240	0.38%
['ITS2', '16S rRNA']	917	0.28%
['ITS', 'ITS1']	911	0.28%
['18S', 'COX1', 'rbcL']	896	0.27%
